5.287171990543048095e-01,1.932906132079885301e-03,4.666847699952264561e-01,3.183654864601822609e+01,5.867333295458850984e+01,3.490000000000000000e+02,2.600000000000000000e+01,2.000000000000000000e+00,3.513600000000000136e+02,1.835982933834988984e+01
6.285021284124431284e-01,6.399777498994608377e-03,3.585218553217241477e-01,5.607005579847980670e+01,5.883872539772159627e+01,2.860000000000000000e+02,3.200000000000000000e+01,1.000000000000000000e+00,2.799677419354838435e+02,1.571411255315849331e+01
4.858626828549436616e-01,1.428764479616057926e-03,5.101799506917845672e-01,1.397692604575323685e+02,9.964529552951971425e+01,2.140000000000000000e+02,6.800000000000000000e+01,3.000000000000000000e+00,2.179850746268656678e+02,3.208086373808875891e+01
6.472817639881556229e-01,2.682817536081652694e-03,3.441039297678725739e-01,1.094083233206866765e+02,4.805278654547083050e+01,3.045000000000000000e+02,2.900000000000000000e+01,1.000000000000000000e+00,3.044285714285714448e+02,2.065680768424065405e+01
6.791801932958081434e-01,3.926508640643037312e-03,3.113175469489283254e-01,8.064150772342851781e+01,1.038258829310056228e+02,1.870000000000000000e+02,5.000000000000000000e+01,2.000000000000000000e+00,1.809795918367346985e+02,5.259079450499551456e+01
6.641510038394646820e-01,3.705394730353616002e-03,3.278838501499414249e-01,3.881690056503821751e+01,2.168232973164015505e+02,2.390000000000000000e+02,3.900000000000000000e+01,5.000000000000000000e+00,2.283157894736842195e+02,9.969426235218327292e+01
6.387777680339938868e-01,1.204825625184898809e-02,7.172778409141450373e-02,3.180217795418313642e+01,8.338227729359915941e+01,2.720000000000000000e+02,1.700000000000000000e+01,1.000000000000000000e+00,2.751250000000000000e+02,2.862865697164294332e+01
5.998997394663878602e-01,2.713806341370075467e-03,3.941835873455188377e-01,1.184273431466168631e+02,1.489426215145148831e+02,3.515000000000000000e+02,5.300000000000000000e+01,1.000000000000000000e+00,3.412115384615384528e+02,5.337014660856392823e+01
7.067918301076262511e-01,3.123682193159330999e-03,2.869467899783536002e-01,7.140415681687910876e+01,3.273810874458595777e+02,2.480000000000000000e+02,3.600000000000000000e+01,1.000000000000000000e+00,2.530571428571428498e+02,1.218104844323634524e+02
6.586411564843279720e-01,7.262592862397287269e-03,3.268216168524388787e-01,9.477787746194655938e+01,3.021036748957012037e+02,1.780000000000000000e+02,3.600000000000000000e+01,1.000000000000000000e+00,2.463428571428571558e+02,1.664116087579582484e+02
7.339923668547726487e-01,2.378553301091564705e-03,2.611314873123413149e-01,3.398106918763245972e+02,7.911999864151378858e+01,1.660000000000000000e+02,1.080000000000000000e+02,6.000000000000000000e+00,1.663271028037383132e+02,3.094471637772938166e+01
8.460644336581428782e-01,4.672730129090518596e-03,1.443164414934337558e-01,1.909485523931864748e+02,1.669444300009237452e+02,2.795000000000000000e+02,3.300000000000000000e+01,6.000000000000000000e+00,2.671875000000000000e+02,5.211154289815075202e+01
7.376757432078597798e-01,7.033229041326683612e-03,2.475353484422275485e-01,3.516400000000000148e+01,1.542371940696281740e+02,2.440000000000000000e+02,3.900000000000000000e+01,2.000000000000000000e+00,2.329210526315789593e+02,5.527547718815621636e+01
6.685136438753978005e-01,3.626996303318931990e-03,3.231162592843057069e-01,3.194388803690324252e+01,6.730845418322387275e+01,3.105000000000000000e+02,2.900000000000000000e+01,1.000000000000000000e+00,3.091071428571428328e+02,2.511012780768983887e+01
6.178503591984679799e-01,2.109915300120030358e-03,3.774331338044026318e-01,1.231256256596933696e+02,6.064416936340853681e+01,2.230000000000000000e+02,4.100000000000000000e+01,2.000000000000000000e+00,2.205749999999999886e+02,2.312008783587254257e+01
6.872816384459197181e-01,1.930329651383828329e-03,3.084861886232242445e-01,4.918331365494400842e+01,1.038137041954355624e+02,1.205000000000000000e+02,6.900000000000000000e+01,3.000000000000000000e+00,1.295147058823529278e+02,3.774225234323328237e+01
